ASIN,Title,Brand,Discounted Price,Actual Price,Stock Status,Rating,Review Count,URL
B07L9BDY3T,"ARCTIC MX-4 - Thermal Compound Paste - Carbon Based High Performance - Heatsink Paste - Thermal Compound CPU for All Coolers - ACTCP00002B,Grey",Brand: ARCTIC,₹549.00,₹899,Only 1 left in stock.,4.4 out of 5 stars,"90,626 ratings",https://www.amazon.in/dp/B07L9BDY3T
B0B8PDHRWY,"KODAK PIXPRO Friendly Zoom FZ45-BK 16MP Digital Camera with 4X Optical Zoom 27mm Wide Angle and 2.7"" LCD Screen (Black)",Visit the KODAK Store,"₹13,699.00","₹18,946",In stock,4.0 out of 5 stars,"1,127 ratings",https://www.amazon.in/dp/B0B8PDHRWY
B0B7535QC3,"HATOKU Pencil for iPad【NO.1 Sales in US】 Fast Charging Stylus Pen for iPad with Tilt Sensitivity&Palm Rejection for 2018-2023 iPad Air 3/4/5, iPad Mini 5/6, iPad 6-10 Gen, iPad Pro 11/12.9",Visit the HATOKU Store,"₹1,059.00","₹2,423",In stock,4.2 out of 5 stars,"5,404 ratings",https://www.amazon.in/dp/B0B7535QC3
B0CDFCWYNT,"PopSockets Translucent Phone Grip with Expanding Kickstand, Compatible with MagSafe®, Magnetic Ring for iPhone and Android Included, Phone Holder, Wireless Charging Compatible - Clear",Visit the POPSOCKETS Store,"₹2,190.00","₹3,190",In stock,4.6 out of 5 stars,"3,256 ratings",https://www.amazon.in/dp/B0CDFCWYNT
B0BBHHT8LY,"AMD 7000 Series Ryzen 7 7700X Desktop Processor 8 cores 16 Threads 40 MB Cache 4.5 GHz Up to 5.4 GHz Socket AM5, 600 Series Chipset (100-100000591WOF)",Brand: AMD,"₹32,239.00","₹60,000",In stock,4.7 out of 5 stars,"2,253 ratings",https://www.amazon.in/dp/B0BBHHT8LY
B0093162RM,PHILIPS Plastic Hf3520 Wake-Up Light with Alarm Clock with Colored Sunrise Simulation and Sunset Fading Night Light (White) led,Visit the PHILIPS Store,"₹19,344.00","₹48,199",In stock,4.3 out of 5 stars,"13,901 ratings",https://www.amazon.in/dp/B0093162RM
B0B61DGG18,amazon basics 256GB Ultra Fast USB 3.1 Flash Drive,Visit the amazon basics Store,"₹1,579.00","₹2,499",In stock,4.1 out of 5 stars,"21,958 ratings",https://www.amazon.in/dp/B0B61DGG18
B08166SLDF,AMD 5000 Series Ryzen 5 5600X Desktop Processor 6 cores 12 Threads 35 MB Cache 3.7 GHz Upto 4.6 GHz Socket AM4 500 Series Chipset (100-100000065BOX),Brand: AMD,"₹11,179.00","₹42,000",In stock,4.5 out of 5 stars,"27,515 ratings",https://www.amazon.in/dp/B08166SLDF
B08166SLDF,AMD 5000 Series Ryzen 5 5600X Desktop Processor 6 cores 12 Threads 35 MB Cache 3.7 GHz Upto 4.6 GHz Socket AM4 500 Series Chipset (100-100000065BOX),Brand: AMD,"₹11,179.00","₹42,000",In stock,4.5 out of 5 stars,"27,515 ratings",https://www.amazon.in/dp/B08166SLDF
B0BZS62TVH,"iPhone Chargers Fast Charging [3 Pack], [Apple MFi-Certified] 20W USB-C Wall Charger Cube with 6Ft USB-C to Lightning Cable Compatible with iPhone 14/13/12/11/X/XR/8/7, iPad & More",Brand: CXX,"₹1,999.00","₹5,999",Only 1 left in stock.,4.2 out of 5 stars,"5,242 ratings",https://www.amazon.in/dp/B0BZS62TVH
B09998MBFM,"Tile Mate Bluetooth Item Finder, 1 Pack, 60m Finding Range, Compatible with Alexa & Google Home, iOS & Android Compatible, Upto 3 Years of Battery Life, Find Your Keys, Remotes & More, Black",Visit the Tile Store,"₹2,199.00","₹3,749",In stock,4.4 out of 5 stars,"43,948 ratings",https://www.amazon.in/dp/B09998MBFM
B0D6WD2QSQ,"Bose New SoundLink Flex Portable Bluetooth Speaker (2nd Gen), Portable Outdoor Speaker with Hi-Fi Audio, Up to 12 Hours Battery Life, Waterproof and Dustproof, Black",Visit the Bose Store,"₹14,999.00","₹16,900",In stock,4.7 out of 5 stars,"1,956 ratings",https://www.amazon.in/dp/B0D6WD2QSQ
B09QV692XY,"Western Digital WD Black SN770 NVMe 1TB, Upto 5150MB/s, 5Y Warranty, PCIe Gen 4 NVMe M.2 (2280), Gaming Storage, Internal Solid State Drive (SSD) (WDS100T3X0E)",Visit the Western Digital Store,"₹6,299.00","₹10,200",In stock,4.5 out of 5 stars,"18,905 ratings",https://www.amazon.in/dp/B09QV692XY
B0D6NN87T8,"AMD Ryzen 9 9900X Desktop Processor Zen 5 Architecture with Integrated Radeon Graphics, 12 cores 24 Threads 64 MB Cache, Base Clock 4.4GHz Upto 5.6GHz AM5 Socket, System Memory DDR5-100-100000662WOF",Brand: AMD,"₹47,604.00","₹75,000",In stock,4.8 out of 5 stars,318 ratings,https://www.amazon.in/dp/B0D6NN87T8
B0DKMJVBMM,Spigen EZ Fit Tempered Glass Screen Protector Guard For Samsung Galaxy S25 Ultra - 2 Pack,Visit the Spigen Store,"₹1,799.00",₹899.50,In stock,4.0 out of 5 stars,705 ratings,https://www.amazon.in/dp/B0DKMJVBMM
B0CDF5M6TW,"​​​​PopSockets Phone Grip with Expanding Kickstand, Compatible with MagSafe, Magnetic Ring for iPhone and Android Included, Included, Phone Holder, Wireless Charging Compatible - Black",Visit the POPSOCKETS Store,"₹1,890.00","₹3,190",In stock,4.3 out of 5 stars,"73,621 ratings",https://www.amazon.in/dp/B0CDF5M6TW
B09V1KJ3J4,"Elgato HD60 X - Stream and Record in 1080p60 HDR10 or 4K30 with Ultra-Low Latency on PS5, PS4/Pro, Xbox Series X/S, Xbox One X/S, in OBS and More, Works with PC and Mac",Visit the Elgato Store,"₹15,799.00","₹24,360",In stock,4.4 out of 5 stars,"3,736 ratings",https://www.amazon.in/dp/B09V1KJ3J4
B06Y1G18KS,"SmartQ C368 USB 3.0 Multi-Card Reader, Plug N Play, Apple and Windows Compatible, Powered by USB, Supports CF/SD/SDHC/SCXC/MMC/MMC Micro, etc.",Brand: SmartQ,"₹1,630.00","₹5,100",Only 1 left in stock.,4.5 out of 5 stars,"32,745 ratings",https://www.amazon.in/dp/B06Y1G18KS
B0971BG25M,"GIGABYTE pci_e_x16 GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD REV2.0 Video Card",Visit the GIGABYTE Store,"₹32,153.00","₹98,000",In stock,4.7 out of 5 stars,"2,742 ratings",https://www.amazon.in/dp/B0971BG25M
B0D8BZDPXB,"Bose New QuietComfort Wireless Noise Cancelling Earbuds, Lifestyle Bluetooth Earbuds with Active Noise Cancellation, Up to 8.5 Hours of Battery Life, Black",Visit the Bose Store,"₹14,999.00","₹16,900",In stock,3.9 out of 5 stars,"1,914 ratings",https://www.amazon.in/dp/B0D8BZDPXB
B0BG28NB7S,"Heibas Bluetooth Headset,Wireless Bluetooth Earpiece With 500Mah Charging Case 72 Hours Talking Time Built-In Microphone For Ios Android Cell Phone,V5.1 Hand-Free Headphones For Trucker,Office-In Ear",Brand: HEIBAS,"₹2,998.00","₹9,999",In stock,4.2 out of 5 stars,"6,634 ratings",https://www.amazon.in/dp/B0BG28NB7S
B07L32B9C2,"Anker 4-Port USB 3.0 Hub, Ultra-Slim Data USB A Hub with 2 ft Extended Cable [Charging Not Supported], for MacBook, Mac Pro, Mac Mini, iMac, Surface Pro, XPS, PC, Flash Drive, Mobile HDD",Visit the Anker Store,"₹1,099.00","₹1,949",In stock,4.4 out of 5 stars,"101,482 ratings",https://www.amazon.in/dp/B07L32B9C2
B08F4444HM,"PowerA Wired Gaming Controller for Xbox Series X/S, Xbox One, PC, Windows 10/11, Black (Officially Licensed)",Visit the PowerA Store,"₹2,549.00","₹4,499",In stock,4.2 out of 5 stars,"15,064 ratings",https://www.amazon.in/dp/B08F4444HM
B082YQTQPC,"USTINE Selfie Stick Bluetooth,Extendable Selfie Stick With Wireless Remote&Tripod Stand Selfie Stick For Iphone X/Iphone 8/8 Plus/Iphone 7/Iphone 7 Plus/Galaxy Note 8/S8 /S8 Plus/Google More,Pack of 1",Visit the SelfieShow Store,₹299.00,"₹2,499",In stock,3.7 out of 5 stars,"25,900 ratings",https://www.amazon.in/dp/B082YQTQPC
B07YP9FBMM,"NVIDIA Shield TV Pro | 4K HDR Streaming Media Player, High Performance, Dolby Vision, 3GB RAM, 2X USB, Compatible with Alexa",Brand: nVidia,"₹39,006.00","₹55,999",Only 1 left in stock.,4.5 out of 5 stars,"11,678 ratings",https://www.amazon.in/dp/B07YP9FBMM
B014I8SIJY,"AmazonBasics High-Speed HDMI Cable,3 Feet (Black,2-Pack)-Supports Ethernet,3D,4K video",Visit the amazon basics Store,₹319.00,"₹1,100",In stock,4.3 out of 5 stars,"491,581 ratings",https://www.amazon.in/dp/B014I8SIJY
B08ZKMJWJH,"EWO'S Universal Remote Control Compatible For All Samsung Tv Led Qled Uhd Suhd Hdr Lcd Frame Curved Solar Hdtv 4K 8K 3D Smart Tvs, With Buttons For Netflix, Prime Video, Www, Black",Brand: EWO'S,₹227.00,₹999,In stock,2.8 out of 5 stars,"24,174 ratings",https://www.amazon.in/dp/B08ZKMJWJH
B00NH13DV2,"amazon basics Usb 2.0 Cable - A-Male To B-Male For Personal Computer,Printer - 16 Feet (4.8 Meters,Black)",Visit the amazon basics Store,₹369.00,"₹1,195",In stock,4.4 out of 5 stars,"128,481 ratings",https://www.amazon.in/dp/B00NH13DV2
B0C45H4WG9,"FIFINE Microphone Arm Stand, Boom Arm Stand with Desk Mount Clamp, Screw Adapter, Cable Management, Suspension Scissor Mic Stand for Boom Stick Microphone, for Podcast Streaming Gaming Studio-BM88",Visit the FIFINE Store,"₹3,510.00","₹4,590",In stock,4.4 out of 5 stars,"2,043 ratings",https://www.amazon.in/dp/B0C45H4WG9
B0BMQJWBDM,AMD 7000 Series Ryzen 5 7600 Desktop Processor 6 cores 12 Threads 38 MB Cache 3.8 GHz Upto 5.1 GHz AM5 Socket (100-100001015BOX),Brand: AMD,"₹20,999.00","₹24,999",In stock,4.7 out of 5 stars,"1,942 ratings",https://www.amazon.in/dp/B0BMQJWBDM
B09X7DQJQL,"SanDisk Extreme Pro 512GB microSDXC UHS-I, V30, 200MB/s Read, 140MB/s Write, Memory Card for 4K Video on Smartphones, Action Cams and Drones",Visit the SanDisk Store,"₹5,499.00","₹10,300",In stock,4.6 out of 5 stars,"33,880 ratings",https://www.amazon.in/dp/B09X7DQJQL
B0CBBMM8XP,"DOGAIN Stylus Pen For iPad 9Th&10Th - Type-C Charging Pencil For iPad Palm Rejection Active Pen Compatible With(2018-2023) Apple iPad 6/7/8/9/10,iPad Air 3/4/5,iPad Mini 5/6, iPad Pro 11""/12.9""(Black)",Brand: DOGAIN,₹999.00,"₹2,000",In stock,4.4 out of 5 stars,"1,407 ratings",https://www.amazon.in/dp/B0CBBMM8XP
B0C33XXS56,"Sony WF-1000XM5 Active Noise Cancelling Wireless Bluetooth in Ear Earbuds with Mic, Up to 36 Hours Battery Life - Black",Visit the Sony Store,"₹23,019.00","₹29,990",In stock,3.8 out of 5 stars,"3,832 ratings",https://www.amazon.in/dp/B0C33XXS56
B09TB7646L,"Ubearkk 25w Charger Square Type C Compatible for Samsung M35/A35/F35, M05/F05/A15/M15/F15/M34/F34/A14/M14/F14/S21 Fe/S23 fe 5G/S24, Super Fast USB C Adapter White (Only Adapter)",Brand: Ubearkk,₹450.00,"₹1,699",In stock,4.5 out of 5 stars,"4,862 ratings",https://www.amazon.in/dp/B09TB7646L
B0BF8FVLSL,G.Skill Trident Z5 NEO RGB (AMD Expo) 32GB (2 x 16GB) DDR5 6000 CL30-38-38-96 1.35V Dual Channel Desktop Memory/RAM - F5-6000J3038F16GX2-TZ5NR (Black),Visit the G.SKILL Store,"₹12,499.00","₹44,999",In stock,4.7 out of 5 stars,"1,167 ratings",https://www.amazon.in/dp/B0BF8FVLSL
B0CTBF4MKS,"Roku Streambar SE | 2-in-1 TV Soundbar with Built-in 4K/HD/HDR Streaming, Premium Speakers, & Enhanced Speech Clarity for Crisp, Clear Dialogue - Quick Guided Simple Setup",Brand: Roku,"₹15,787.00","₹18,999",In stock,4.5 out of 5 stars,"1,005 ratings",https://www.amazon.in/dp/B0CTBF4MKS
B0002E4Z8M,Shure SM7B Cardioid Vocal Dynamic Microphone,Visit the Shure Store,"₹41,490.00","₹54,000",In stock,4.7 out of 5 stars,"11,088 ratings",https://www.amazon.in/dp/B0002E4Z8M
B08DG7JN5C,Ailun Screen Protector for iPhone 12 pro Max 2020 6.7 Inch 3 Pack Case Friendly Tempered Glass,Brand: Ailun,₹399.00,₹133.00,In stock,4.6 out of 5 stars,"58,140 ratings",https://www.amazon.in/dp/B08DG7JN5C
B0B14VQ5GQ,"2 Pack Case with Tempered Glass Screen Protector for Apple Watch Series SE(2022) 6/5/4 40mm,JZK Slim Guard Bumper Full Coverage Hard PC Protective Cover HD Ultra-Thin Cover for iWatch 40mm,Clear",Brand: JZK,₹398.00,₹999,In stock,3.4 out of 5 stars,"26,279 ratings",https://www.amazon.in/dp/B0B14VQ5GQ
B07YD579WM,Crucial BX500 1TB 3D NAND SATA 6.35 cm (2.5-Inch) Internal SSD - CT1000BX500SSD1,Visit the Crucial Store,"₹4,989.00","₹8,599",In stock,4.5 out of 5 stars,"130,826 ratings",https://www.amazon.in/dp/B07YD579WM
B0C7VQ8P8M,"GTPLAYER Racing simulator, steering wheel support for G923 G29 G920 Thrustmaster T300RS T500RS Force Feedback Gaming steering wheel & TH8A V1 gear lever - Fanatec Clubsport PS4 - Tilt",Visit the GTPLAYER Store,Not found,Not found,Currently unavailable.,4.3 out of 5 stars,890 ratings,https://www.amazon.in/dp/B0C7VQ8P8M
B09BNDR17R,Susnwere 4 (SUNH65L1139),Brand: Susnwere,"₹1,551.00","₹4,653",Only 1 left in stock.,4.4 out of 5 stars,"10,881 ratings",https://www.amazon.in/dp/B09BNDR17R
B0CTJ7PVN1,"Shure MV7+ Podcast Microphone. Enhanced Audio, LED Touch Panel, USB-C & XLR Outputs, Auto Level Mode, Digital Pop Filter, Reverb Effects, Podcasting, Streaming, Recording - Black",Visit the Shure Store,"₹26,641.00","₹29,600",In stock,4.4 out of 5 stars,"5,795 ratings",https://www.amazon.in/dp/B0CTJ7PVN1
B09FXNVDBJ,Intel Core i7-12700K Desktop Processor 12 (8P+4E) Cores up to 5.0 GHz Unlocked LGA 1700 600 Series Chipset 125W,Brand: Intel,"₹24,639.00","₹59,600",In stock,4.7 out of 5 stars,"3,252 ratings",https://www.amazon.in/dp/B09FXNVDBJ
B09C13PZX7,Razer Basilisk V3 Customizable Ergonomic Gaming Wired Mouse: Fastest Mouse Switch - Chroma RGB Lighting - 26K DPI Optical Sensor - 11 Programmable Buttons - HyperScroll Tilt Wheel - Classic Black,Visit the Razer Store,"₹9,224.00","₹25,400",Only 1 left in stock.,4.6 out of 5 stars,"7,393 ratings",https://www.amazon.in/dp/B09C13PZX7
B00SW9JI9A,"Moread Hdmi To Vga, Gold-Plated Hdmi To Vga Adapter (Male To Female) For Computer, Desktop, Laptop, Pc, Monitor, Projector, Hdtv, Chromebook, Raspberry Pi, Roku, Xbox And More - Black (1)",Brand: Moread,₹299.00,"₹2,999",In stock,3.7 out of 5 stars,"54,949 ratings",https://www.amazon.in/dp/B00SW9JI9A
B08K7HFMX4,Video Camera Camcorder kimire Digital Camera Recorder Full HD 1080P 15FPS 24MP 3.0 Inch 270 Degree Rotation LCD 16X Digital Zoom Camcorder Camera with 2 Batteries(Black),Brand: Kimire,"₹6,970.00","₹15,000",In stock,4.1 out of 5 stars,"6,045 ratings",https://www.amazon.in/dp/B08K7HFMX4
B0DNVQNBRP,"amFilm [2+2 Pack OneTouch Tempered Glass Screen Guard Protector For Samsung Galaxy S22 Plus 5G 6.6 Inch, 9H Hardness With Camera Lens Protector, Easiest to Installation, Case Friendly and Bubble Free",Visit the amFilm Store,₹899.00,"₹1,099",In stock,4.2 out of 5 stars,"2,858 ratings",https://www.amazon.in/dp/B0DNVQNBRP
B09B9PCYSS,"USB Headset with Mic for PC, Over-Ear Computer Laptop Headphones with Noise Cancelling Microphone in-line Control for Home Office Online Class Skype Zoom",Brand: EAGLEND,"₹4,393.00","₹13,179",Only 1 left in stock.,4.2 out of 5 stars,"4,983 ratings",https://www.amazon.in/dp/B09B9PCYSS
B0BR5MJQ6W,"Vaydeer Ultra Slim Mouse Mover with Adjustable Interval Timer, Undetectable & Noiseless Mouse Jiggler Simulates Realistic Mouse Movement, Driver-Free Mouse Shaker for Keeping the PC Active and Secure.",Brand: VAYDEER,"₹1,799.00","₹2,599",In stock,4.5 out of 5 stars,"4,664 ratings",https://www.amazon.in/dp/B0BR5MJQ6W
B099MLDBKJ,"JADENS Bluetooth Thermal Shipping Label Printer – Wireless 4x6 Shipping Label Printer, Compatible with Android&iPhone and Windows, But Not Mac,Widely Used, Amazon, Shopify",Brand: JADENS,"₹8,999.00",₹59.20,In stock,4.4 out of 5 stars,"6,063 ratings",https://www.amazon.in/dp/B099MLDBKJ
B08G84P8ZX,"Laptop Stand for Desk, Adjustable Laptop Riser ABS+Silicone Foldable Portable Laptop Holder, Ventilated Cooling Notebook Stand for MacBook Pro Air, Lenovo, Dell, HP, More 10-15.6” Laptops,Tablet-Black",Brand: Tonmom,"₹3,149.00",₹286.27,Only 1 left in stock.,4.5 out of 5 stars,"10,897 ratings",https://www.amazon.in/dp/B08G84P8ZX
B012V563B6,"CableCreation USB C 6.6FT, USB C to USB B Printer, Scanner Printer to USB C MIDI Cable for Yamaha Casio Digital Piano MIDI Controller DJ Controller, HP, Canon, Brother, Samsung Printers 2M (Black)",Visit the CableCreation Store,"₹1,136.00","₹2,299",In stock,4.4 out of 5 stars,"14,983 ratings",https://www.amazon.in/dp/B012V563B6
B0BJS4FR77,"ZUGU CASE iPad 10.9 Case, Ultra Slim Protective Case/Cover Designed for iPad 10.9-inch (11th Gen, A16 2025 / 10th Gen, 2022) Wireless Pencil Charging, Convenient Magnetic Stand (Auto Sleep/Wake)",Visit the ZUGU CASE Store,"₹5,699.00","₹6,999",In stock,4.8 out of 5 stars,"4,073 ratings",https://www.amazon.in/dp/B0BJS4FR77
B0753CZ8MC,"PORTHOLIC Wii to HDMI Adapter, 1080P/720P Full HD Converter with 3.5 mm Socket for Nintendo Wii U, Audio Output, TV Monitor, Projector, TV",Brand: PORTHOLIC,₹699.00,"₹1,999",Only 2 left in stock.,4.5 out of 5 stars,"17,292 ratings",https://www.amazon.in/dp/B0753CZ8MC
B09BJL2Z46,"OIVO 4 x 1500 mAh Xbox Battery for Xbox Series X|S/Xbox One, Xbox Batteries with Fast Charging Station for Xbox Series X|S/Xbox One/Xbox One Elite Controller ( 1500mAh=3600mWh)",Brand: OIVO,"₹2,999.00","₹3,999",In stock,4.6 out of 5 stars,"8,775 ratings",https://www.amazon.in/dp/B09BJL2Z46
B0CB7W6W7B,AIKOKOK Laptop Mouse,Brand: AIKOKOK,₹599.00,₹999,In stock,4.2 out of 5 stars,"1,771 ratings",https://www.amazon.in/dp/B0CB7W6W7B
B07H1DHJBV,"AILUN Screen Protector Compatible iPhone Xs Max (6.5inch 2018 Release),[3 Pack],0.33mm Tempered Glass, Compatible iPhone Xs Max (6.5inch 2018 Release),Anti-Scratch,Case Friendly",Brand: Ailun,₹399.00,₹133.00,In stock,4.6 out of 5 stars,"110,032 ratings",https://www.amazon.in/dp/B07H1DHJBV
B00DUGZFWY,"Amazon Basics Messenger Laptop Bag with Handle & Shoulder Strap fits upto 15.6"" Laptop / MacBook for Men & Women (Black)",Visit the amazon basics Store,₹799.00,"₹1,900",In stock,3.9 out of 5 stars,"41,553 ratings",https://www.amazon.in/dp/B00DUGZFWY
